"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"S73.134.O.1.16S_000000000.J53BN" 0.645926745 0.380234568733466 "M" "H" "C"
"X30.136.1.O.16S_000000000.J99GR" 0.18846114 -0.101709458112867 "M" "M" "E"
"S133.136.O.3.16S_000000000.J58CV" 0.18846114 -0.135258037351433 "M" "L" "A"
"S86.136.O.4.16S_000000000.J53BN" 0.18846114 -0.0064015807716 "M" "M" "E"
"X25.140.3.O.16S_000000000.J99GR" -1.236724614 -0.19677818265385 "L" "L" "E"
"S189.140.O.1.16S_000000000.J52V7" -1.236724614 -0.163687927765583 "L" "L" "E"
"S51.140.O.2.16S_000000000.J53BN" -1.236724614 -0.219955248383833 "L" "L" "D"
"S75.140.O.4.16S_000000000.J53BN" -1.236724614 -0.19456652175645 "L" "L" "C"
"S162.143.O.3.16S_000000000.J52V7" 1.456365962 0.28250917864075 "H" "H" "A"
"S54.143.O.4.16S_000000000.J53BN" 1.456365962 0.21957714280815 "H" "H" "E"
"S82.143.O.1.16S_000000000.J53BN" 1.456365962 0.320496284947133 "H" "H" "D"
"S92.143.O.2.16S_000000000.J53BN" 1.456365962 0.11039525914755 "H" "H" "A"
"S1.167.O.1.16S_000000000.J59B3" 1.37425708 0.471883069407766 "H" "H" "E"
"S120.167.O.4.16S_000000000.J58CV" 1.37425708 0.578788748043566 "H" "H" "A"
"S96.167.O.2.16S_000000000.J53BN" 1.37425708 0.455892955855732 "H" "H" "D"
"X29.169.3.O.16S_000000000.J99GR" 1.968028584 0.545048406250549 "H" "H" "A"
"X41.169.4.O.16S_000000000.J99GR" 1.968028584 0.627526374366733 "H" "H" "E"
"X19.183.1.O.16S_000000000.J99GR" -0.224541725 -0.0850397112295666 "M" "M" "C"
"X31.183.4.O.16S_000000000.J99GR" -0.224541725 -0.1931804184484 "M" "L" "F"
"S127.178.O.3.16S_000000000.J58CV" -1.709695532 -0.270377958006866 "L" "L" "D"
"S15.178.O.2.16S_000000000.J59B3" -1.709695532 -0.286680509782383 "L" "L" "C"
"S69.178.O.4.16S_000000000.J53BN" -1.709695532 -0.195270984986017 "L" "L" "B"
"S90.178.O.1.16S_000000000.J53BN" -1.709695532 -0.125692427105617 "L" "L" "D"
"S148.157.O.4.16S_000000000.J52V7" -1.825447183 -0.295161868189467 "L" "L" "F"
"S156.157.O.3.16S_000000000.J52V7" -1.825447183 -0.583924025607 "L" "L" "A"
"S191.157.O.2.16S_000000000.J52V7" -1.825447183 -0.446925317847317 "L" "L" "B"
"S87.157.O.1.16S_000000000.J53BN" -1.825447183 -0.627863081504617 "L" "L" "A"
